"","caseno","popbasesec","country","region","la_group","residence_type","add1yr","ageh","agehrp","aggdtwpew11g","ahchuk11","carer","carsnoc","cenheat","clients01","clients02","clients03","clients04","clients05","clients06","clients07","clients08","clients09","clients10","clients11","clients12","clients13","clients14","clients15","clients16","clients17","clients18","clients19","clients20","clients21","cobg","cobhukrcg","concealed","depedhuk11","depemhuk11","dephdhuk11","dephshuk11","deprived","disability","dpcfamuk11","ecopuk11","empstat","estnaturei","ethhuk11","ethnicityew","everwork","fmspuk11","health","hhldlang11","hlqupuk11","hours","housecarer","identityg","illhuk11g","indgpuk11","intention","iscog","landlordew","langprf","larpuk11","lastyrwrkg","mainglangg","marstat","meighuk11","mighuk11","mltrlg","movefromg","moveregion","natidbpuk11","natidepuk11","natidipuk11","natidnipuk11","natidopuk11","natidspuk11","natidwpuk11","nssec","nsshuk11","occg","passports","penexactpuk11","penhuk11","penpuk11","position","pproomhuk11","psptelog","relato","religionew","rtntypeg","scaddtyp","scghuk11","scgpuk11c","selfcon","sex","single","sizhuk11","sscaddcpew11","stapuk11","student","supervisor","tenduk11","tenure","transport","transport_2001","typaccom","unemphist","visitorsg","wg1famuk11","wkpladdewni","wlshread","wlshspeak","wlshstnd","wlshwrit","wpzhome","wrkplaceew","yradindstud","yrarr_yearg"
"1372955",381804,1,1,2,188,2,1,11,8,8,7,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,1,6,2,NA,1,1,NA,3,2,1,15,3,0,NA,0,10,NA,21,NA,NA,1,1,1,2,2,0,5,1,NA,1,4,7,4,3,4,4,9.1,9.1,34,1,0,NA,0,NA,1,NA,NA,2,1,NA,2,2,1,2,2,2,1,NA,2,2,0,1,1,1,2,NA,0,2,2,NA,NA,NA,NA,1,2,0,NA
"2006202",344537,1,1,2,185,2,1,7,11,4,10,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,1,2,1,NA,1,1,NA,5,1,1,11,3,0,NA,0,2,NA,74,NA,NA,4,1,1,1,2,0,2,1,NA,3,1,7,4,3,4,4,7.4,2,52,1,0,9,0,NA,1,NA,10,2,1,NA,NA,2,1,1,2,4,1,NA,2,2,0,1,8,8,2,NA,0,1,1,NA,NA,NA,NA,4,4,0,NA
"1250688",2339536,1,1,2,191,2,1,8,5,2,6,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,4,6,2,NA,1,1,NA,3,1,1,15,3,0,NA,0,10,NA,31,NA,NA,1,1,1,2,2,0,2,1,NA,3,1,7,4,3,4,4,9.1,9.1,31,1,0,NA,0,NA,2,NA,NA,2,1,NA,2,2,1,1,2,4,1,NA,2,2,1,2,7,7,2,NA,0,2,1,NA,NA,NA,NA,3,3,0,NA
"1957279",2341549,1,1,2,191,2,1,5,7,4,10,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,1,0,0,2,3,3,1,1,NA,1,1,NA,5,2,1,11,1,0,NA,0,15,NA,51,2,NA,4,1,1,1,2,0,6,1,NA,3,1,7,4,3,4,4,13.1,13.4,92,1,0,NA,0,NA,2,NA,4,2,1,NA,4,4,1,1,2,4,1,NA,2,2,3,4,10,10,1,NA,0,1,1,NA,NA,NA,NA,3,3,0,NA
"99970",338803,1,1,2,185,2,1,11,8,5,2,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,0,0,0,2,3,NA,2,1,NA,1,1,NA,2,1,1,10,3,0,NA,0,1,NA,42,2,NA,4,1,1,1,1,0,1,1,NA,3,1,7,4,3,4,4,7.2,7.2,72,1,0,NA,0,NA,1,NA,NA,2,1,NA,2,2,1,1,1,1,1,NA,2,2,3,4,4,4,4,NA,0,NA,1,NA,NA,NA,NA,4,4,0,NA
"753206",2305343,1,1,2,184,2,1,8,5,4,6,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,2,2,1,NA,1,1,NA,3,1,1,15,3,0,NA,0,2,NA,33,NA,NA,3,1,1,1,2,0,7,1,NA,2,2,7,4,3,4,4,4.1,4.1,35,1,0,NA,0,NA,2,NA,3,1,1,NA,2,2,1,1,2,3,1,NA,2,2,1,2,8,8,2,NA,0,2,1,NA,NA,NA,NA,4,4,0,NA
"1250346",2333815,1,1,2,191,2,2,5,9,4,10,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,1,3,1,2,1,NA,1,1,NA,3,2,1,14,3,0,NA,0,3,NA,31,NA,NA,3,1,1,1,2,2,2,3,3,3,1,7,4,3,4,4,6,12.2,52,1,0,NA,0,NA,2,NA,12,2,1,NA,4,4,1,2,2,4,1,NA,2,2,1,2,7,7,1,NA,0,2,1,NA,NA,NA,NA,4,4,0,NA
"2268513",385663,1,1,2,189,2,1,4,7,1,10,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,1,1,1,NA,1,1,NA,5,1,1,12,1,0,NA,0,10,NA,35,NA,NA,4,1,1,1,2,0,5,1,NA,3,1,7,4,3,4,4,4.1,5,31,1,0,NA,0,NA,1,NA,5,2,1,NA,1,1,1,1,2,3,1,NA,2,2,1,2,10,10,1,NA,0,2,1,NA,NA,NA,NA,3,3,0,NA
"1891637",364773,1,1,2,187,2,1,6,3,4,7,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,1,2,1,NA,1,1,NA,3,2,1,15,3,0,NA,0,9,NA,14,NA,NA,1,1,1,2,2,0,2,1,NA,3,1,7,4,3,4,4,2,2,12,1,0,NA,0,NA,1,NA,NA,2,2,NA,1,1,1,1,2,2,1,NA,2,1,1,2,7,7,4,NA,0,1,1,NA,NA,NA,NA,4,4,0,NA
"2180790",2273491,1,1,2,182,2,1,9,7,1,8,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,6,1,1,NA,1,1,NA,3,1,1,11,2,0,NA,0,13,NA,53,NA,NA,1,1,1,2,2,0,2,1,NA,3,1,7,4,3,4,4,7.2,5,61,1,0,NA,0,NA,1,NA,1,2,2,NA,1,1,1,2,2,5,1,NA,2,2,1,2,10,10,1,NA,0,2,1,NA,NA,NA,NA,3,3,0,NA
